10.0				9.685790				2.379476335435593E+07
15.0				13.248528				1.240664551718833E+07
20.0				 8.634699				8.653060505167184E+06
25.0				8.289308				7.029368117818552E+06
30.0				10.162263				6.075830123377479E+06
35.0				11.648419				5.418679672723482E+06
40.0				12.821203				4.934142495252124E+06
45.0				14.661868				4.596067109992695E+06
50.0				16.531229				4.313324852345526E+06
55.0				14.280982				4.114470400431398E+06
60.0				12.495226				3.940944579688709E+06
65.0				13.699570				3.805164031116546E+06
70.0				14.917867				3.683623608995731E+06
75.0				16.149264				3.573964200874321E+06
80.0				17.393012				3.474341740277749E+06
85.0				18.648452				3.383291684148913E+06
90.0				20.277747				3.314459661962812E+06
95.0				21.949736				3.250639443655816E+06
100.0				23.663202				3.191229817934434E+06
105.0				25.417023				3.135727303338448E+06
110.0				27.210159				3.083706482313500E+06
115.0				29.041643				3.034804986164898E+06
120.0				30.910575				2.988711880800949E+06
